Tema;Enunciado;Num_de_alternativas;Alternativa_1;Alternativa_2;Alternativa_3;Alternativa_4;Resposta_correta;Alternativa_irreverente
Ética em Pesquisa;É permitido abandonar um estudo clínico após iniciar a participação?;3;Não, é um contrato vitalício;Sim, a participação é sempre voluntária;Depende da decisão do médico;-;2;1
Farmacologia;O que é biodisponibilidade?;4;A habilidade dos organismos vivos jogarem videogame;Quantidade de medicamento que chega à circulação sistêmica;A presença de vida em outros planetas;Tempo que o medicamento dura na prateleira;2;1
Regulamentação;Quem pode realizar auditoria em pesquisa clínica?;3;Agentes secretos treinados pela CIA;Auditores independentes ou autoridades reguladoras;Qualquer pessoa que passar perto do laboratório;-;2;1
Conceitos Básicos;O que significa "placebo-controlled" em um estudo clínico?;4;Grupo controle que ouve música da banda Placebo;Grupo controle que recebe uma substância sem efeito terapêutico;Controle realizado por placebos em assembleia geral;Tratamento experimental em todos os grupos;2;1
Metodologia;O que é viés em pesquisa clínica?;3;Viagem em grupo com participantes do estudo;Erro sistemático que distorce resultados do estudo;Nome técnico para entrevistas com pacientes;-;2;1
Ética em Pesquisa;Quem protege os direitos dos participantes de pesquisas clínicas no Brasil?;4;Liga da Justiça;Comitês de Ética em Pesquisa;Departamento de Marketing;Setor administrativo do hospital;2;1
Regulamentação;Um estudo clínico pode começar antes da aprovação ética?;3;Sim, desde que seja segredo;Nunca, precisa sempre de aprovação prévia;Apenas se o investigador principal autorizar;-;2;1
Conceitos Básicos;O que são critérios de inclusão em um estudo clínico?;4;Pessoas que curtiram o evento no Facebook;Características necessárias para participar do estudo;Participantes que chegam primeiro ao local do estudo;Pacientes com ingresso VIP para a pesquisa;2;1
Farmacologia;O que é farmacocinética?;3;Movimento dos medicamentos no corpo;Cinética das farmácias abrindo e fechando;Método de venda rápida de medicamentos;-;1;2
Metodologia;Qual estudo observa os efeitos de longo prazo após tratamentos?;4;Estudo para medir paciência dos participantes;Estudo longitudinal;Estudo transversal;Estudo em círculos concêntricos;2;1
Ética em Pesquisa;Participantes de estudos clínicos devem ser informados sobre riscos?;3;Só se forem amigos próximos;Sempre, antes de participarem;Somente após sentirem algum sintoma;-;2;1
Regulamentação;Quem aprova medicamentos novos no Brasil?;4;Federação Brasileira de Farmacêuticos;ANVISA;Sociedade dos Cientistas Unidos;Conselho Intergaláctico de Medicina;2;4
Farmacologia;O que é farmacodinâmica?;3;O poder dinâmico das farmácias;A ação dos medicamentos no organismo;A velocidade de entrega dos remédios nas farmácias;-;2;1
Metodologia;O que é estudo retrospectivo?;3;Estudo sobre tendências de moda antiga;Estudo que analisa dados já coletados anteriormente;Estudo conduzido exclusivamente por historiadores;-;2;1
Ética em Pesquisa;Quem deve assinar o TCLE?;4;Participantes ou responsáveis legais;Somente o investigador principal;Recepcionista do laboratório;O chefe de segurança;1;4
Regulamentação;Pode-se divulgar os dados pessoais dos participantes do estudo?;3;Sim, especialmente em redes sociais;Não, devem ser sempre mantidos em sigilo;Somente se o participante tiver muitos seguidores;-;2;1
Metodologia;O que é eficácia em um estudo clínico?;4;Habilidade de finalizar o estudo rapidamente;Capacidade do tratamento atingir o resultado desejado;Quantidade de pessoas inscritas;A rapidez com que os médicos tomam café;2;4
Conceitos Básicos;O que é uma reação adversa grave em pesquisa clínica?;3;Quando alguém perde o controle do videogame;Ocorrência médica séria que pode exigir hospitalização;Descontentamento por não gostar da comida servida;-;2;1
Ética em Pesquisa;Menores podem participar de pesquisas clínicas?;3;Sim, com consentimento dos responsáveis legais;Nunca podem participar;Apenas se tiverem boas notas na escola;-;1;3
Metodologia;O que significa análise "intenção-de-tratar"?;4;Plano secreto dos pesquisadores para o fim do estudo;Analisar dados de todos os participantes inscritos;Tratamento exclusivo para os pacientes mais simpáticos;Método de análise financeira do estudo;2;1
Farmacologia;O que é interação medicamentosa?;3;Quando medicamentos conversam entre si;Quando um medicamento altera o efeito de outro;Encontros sociais de comprimidos;-;2;1
Regulamentação;Qual documento regulamenta pesquisas com novos medicamentos no Brasil?;4;Manual secreto das poções mágicas;RDC 09/2015 da ANVISA;Lei Geral dos Hospitais;Cartilha do investigador aprendiz;2;1
Metodologia;O que é um estudo transversal?;3;Análise da movimentação no trânsito;Estudo que coleta dados em um único momento;Pesquisa sobre cruzamentos rodoviários;-;2;1
Ética em Pesquisa;O participante deve receber informações sobre resultados da pesquisa?;3;Só se ganhar o prêmio final;Sim, quando disponíveis;Apenas se o estudo der certo;-;2;1
Ética em Pesquisa;O que é vulnerabilidade em pesquisa clínica?;3;Maior risco de dano ou exploração durante o estudo;Baixa resistência ao medicamento testado;Medo excessivo dos participantes de injeções;-;1;3
Metodologia;O que é um grupo controle em pesquisa clínica?;4;Grupo que recebe tratamento experimental;Grupo que recebe tratamento padrão ou placebo;Grupo dos funcionários responsáveis pelo controle;Grupo que controla o horário do lanche;2;4
Farmacologia;O que é meia-vida de um medicamento?;3;Tempo até metade do medicamento ser eliminado;Período após o almoço em que se toma a segunda dose;Tempo que demora para o medicamento agir;-;1;2
Regulamentação;Qual o papel dos Comitês de Ética em Pesquisa (CEP)?;4;Aprovar o orçamento da pesquisa;Avaliar os aspectos éticos dos estudos;Distribuir brindes aos participantes;Fiscalizar o café servido aos pesquisadores;2;3
Conceitos Básicos;O que significa fase pré-clínica?;3;Estudos em humanos antes de aprovar medicamento;Estudos laboratoriais e em animais antes de humanos;Preparação do laboratório antes do estudo começar;-;2;-
Metodologia;O que é um estudo aberto (open-label)?;4;Todos sabem qual tratamento é administrado;Participantes são livres para mudar de tratamento;Pesquisa realizada ao ar livre;Estudo com portas abertas o tempo todo;1;3
Farmacologia;O que é toxicidade em farmacologia?;3;Capacidade de causar efeitos adversos no organismo;Quando um medicamento tem gosto ruim;Efeito desejado pelo medicamento;-;1;2
Ética em Pesquisa;Quem deve revisar e aprovar o protocolo clínico?;3;Apenas o investigador principal;Comitê de Ética em Pesquisa (CEP);A pessoa mais velha da equipe;-;2;3
Regulamentação;Pesquisas clínicas precisam seguir qual regulamentação?;4;Resolução CNS 466/2012;Código Penal Brasileiro;Normas da ABNT para impressão;Regras internas do laboratório de química;1;3
Conceitos Básicos;O que significa "duplo-dummy" em um estudo clínico?;3;Uso de dois placebos diferentes para mascarar tratamentos;Pesquisa com duplas de humoristas;Tratamento duplamente forte;-;1;2
Metodologia;O que significa "placebo washout"?;3;Uso de placebo para eliminar efeitos anteriores;Limpeza dos comprimidos antes do uso;Tomar placebo após as refeições;-;1;2
Farmacologia;O que é um medicamento genérico?;4;Medicamento com fórmula inovadora;Medicamento equivalente ao original com preço reduzido;Medicamento exclusivo para pessoas genéricas;Medicamento que vem em embalagens coloridas;2;3
Ética em Pesquisa;Participantes têm direito a ressarcimento dos gastos?;3;Não, devem pagar para participar;Sim, se houver gastos relacionados à pesquisa;Apenas se ficarem até o final;-;2;1
Metodologia;O que é um estudo paralelo?;4;Participantes recebem tratamentos diferentes simultaneamente;Estudo onde participantes caminham em paralelo;Estudo conduzido em dois países ao mesmo tempo;Participantes seguem exatamente a mesma dieta;1;2
Farmacologia;O que é placebo ativo?;3;Placebo que causa efeitos colaterais leves;Placebo com efeitos terapêuticos conhecidos;Placebo dado com bastante energia;-;2;3
Regulamentação;Qual órgão regulamenta dispositivos médicos no Brasil?;4;Conselho Federal de Medicina;ANVISA;Ministério das Comunicações;Liga Brasileira dos Inventores Médicos;2;4
Conceitos Básicos;O que é monitoria clínica?;3;Processo de supervisão da condução da pesquisa;Acompanhamento das redes sociais dos pesquisadores;Monitoramento das câmeras do hospital;-;1;2
Ética em Pesquisa;Quem deve ter acesso aos dados pessoais dos participantes?;3;Toda equipe de pesquisa e visitantes do laboratório;Somente pessoal autorizado e necessário para o estudo;Qualquer pessoa interessada;-;2;1
Metodologia;O que significa estudo multicêntrico?;4;Estudo realizado em um único local;Estudo realizado em vários locais simultaneamente;Pesquisa feita em centros comerciais;Estudo conduzido por múltiplos centros esportivos;2;3
Farmacologia;O que é via de administração de medicamentos?;3;Caminho pelo qual o medicamento entra no corpo;Rota usada para entrega do medicamento na farmácia;Rua principal de acesso ao hospital;-;1;3
Regulamentação;O que é notificação compulsória em pesquisa clínica?;3;Informar eventos graves imediatamente às autoridades;Notificar participantes por e-mail diariamente;Avisar a equipe quando o café acabar;-;1;3
Ética em Pesquisa;O que é confidencialidade em pesquisa clínica?;3;Divulgação pública de dados pessoais;Garantia de que informações pessoais sejam protegidas;Falar baixinho durante entrevistas;-;2;3
Farmacologia;O que é efeito colateral?;3;Efeito desejado do medicamento;Efeito indesejado causado pelo medicamento;Efeito especial de filmes sobre medicamentos;-;2;3
Metodologia;O que é análise interina em estudos clínicos?;3;Análise parcial realizada durante o estudo;Revisão dos resultados após o fim do estudo;Avaliação feita apenas aos sábados;-;1;3
Regulamentação;Quais documentos devem ser submetidos ao CEP?;4;Apenas currículo dos pesquisadores;Protocolo, TCLE e documentos complementares;Fotos dos equipamentos do laboratório;Cardápio do refeitório do hospital;2;4
Farmacologia;O que é medicamento de referência?;3;Medicamento original registrado como inovador;Medicamento usado apenas como referência histórica;Medicamento guardado em bibliotecas;-;1;3
Ética em Pesquisa;Participantes têm direito a tratamento pós-estudo?;3;Somente em caso de sucesso absoluto;Sim, conforme indicado no protocolo e regulamentações;Apenas se forem muito simpáticos;-;2;3
Metodologia;O que é critério de exclusão?;3;Características que impedem participação no estudo;Lista de expulsão de participantes indisciplinados;Itens proibidos no laboratório;-;1;2
