Tema;Enunciado;Num_de_alternativas;Resposta_correta;Resposta_incorreta
Processo de Ensino-Aprendizagem na Simulação;Como a simulação favorece a retenção do conhecimento?;2;A aprendizagem ativa melhora a memorização ao permitir prática segura, consolidando o aprendizado técnico e cognitivo a longo prazo e superando métodos tradicionais.;A simulação não contribui para retenção de conhecimento.
Elementos técnicos do CEBS;Qual o objetivo da moulage?;2;Ampliar o realismo visual e sensorial dos cenários de simulação.;A moulage não possui finalidade educativa.
Processo de Ensino-Aprendizagem na Simulação;Quais habilidades clínicas podem ser treinadas com simulação?;2;Raciocínio clínico, procedimentos invasivos, comunicação, trabalho em equipe e tomada de decisão.;Nenhuma habilidade clínica pode ser treinada por simulação.
Elementos técnicos do CEBS;Como a moulage pode ser aplicada?;2;Em simuladores, atores simulados e superfícies cenográficas.;A moulage não pode ser aplicada em cenários educativos.
Processo de Ensino-Aprendizagem na Simulação;Como a simulação auxilia no desenvolvimento do raciocínio clínico?;2;Estimula a análise e o julgamento clínico.;A simulação não contribui para o raciocínio clínico.
Elementos técnicos do CEBS;Quais são os materiais utilizados na moulage?;2;Cera moldável, látex líquido, sangue falso e próteses prontas.;Não são utilizados materiais na moulage.
Processo de Ensino-Aprendizagem na Simulação;A simulação melhora a tomada de decisão? Como?;2;A simulação melhora significativamente a tomada de decisão, ao permitir a visualização de resultados de cenários hipotéticos antes que eles ocorram no mundo real.;A simulação não influencia a tomada de decisão.
Elementos técnicos do CEBS;Como a moulage e a cenografia atuam juntas?;2;Promovem o engajamento emocional dos participantes e fortalecem a verossimilhança das situações clínicas.;Moulage e cenografia não possuem relação entre si.
Processo de Ensino-Aprendizagem na Simulação;Como a simulação ajuda na identificação de sinais clínicos?;2;Por meio do treinamento de exames físicos e do desenvolvimento do raciocínio clínico, promove a segurança e a eficiência.;A simulação não auxilia na identificação de sinais clínicos.
Elementos técnicos do CEBS;Os registros audiovisuais do CEBS precisam de TCLE?;2;Sim, elaborados de acordo com a Lei Geral de Proteção de Dados Pessoais (LGPD).;Não há necessidade de consentimento para registros audiovisuais.
Processo de Ensino-Aprendizagem na Simulação;Como trabalhar protocolos clínicos em simulação?;2;Definindo objetivos claros, aplicando fielmente o protocolo na simulação e delineando com precisão o resultado esperado.;Protocolos clínicos não podem ser trabalhados na simulação.
Impactos, Desafios, Inovação e Aspectos Humanos;Qual o papel da liderança em cenários simulados?;2;Organizar a equipe, distribuir tarefas e garantir decisões rápidas e eficazes.;A liderança não tem papel relevante nos cenários.
Processo de Ensino-Aprendizagem na Simulação;A repetição em simulação melhora o desempenho clínico?;2;A prática repetida permite a transição do conhecimento teórico para a prática, reduzindo erros em cenários reais.;A repetição não interfere no desempenho.
Impactos, Desafios, Inovação e Aspectos Humanos;Como a simulação ajuda na prevenção de falhas de comunicação?;2;Treina a comunicação estruturada e evidencia erros comuns, permitindo correção.;A simulação não contribui para a comunicação.
Processo de Ensino-Aprendizagem na Simulação;Qual o impacto da simulação na aprendizagem dos estudantes?;2;Aumenta a retenção do conhecimento, melhora o raciocínio clínico e eleva a confiança e o desempenho.;Não há impacto no aprendizado dos estudantes.
Impactos, Desafios, Inovação e Aspectos Humanos;Como avaliar competências relacionadas à segurança do paciente na simulação?;2;Com checklists, observação direta, avaliação da comunicação e da tomada de decisão.;Não é possível avaliar a segurança do paciente.
Processo de Ensino-Aprendizagem na Simulação;A simulação é eficaz comparada a métodos tradicionais?;2;Sim. É eficaz para desenvolver habilidades práticas, tomada de decisão e pensamento crítico.;A simulação é menos eficaz que métodos tradicionais em todos os casos.
Impactos, Desafios, Inovação e Aspectos Humanos;Como a simulação pode ser usada para análise de erros?;2;Reproduz eventos adversos para identificar causas e discutir melhorias no debriefing.;Não pode ser usada para análise de erros.
Processo de Ensino-Aprendizagem na Simulação;Como planejar um cenário de simulação educacional?;2;Definir objetivos claros, adequar ao nível do aluno, criar caso clínico realista e preparar ambiente e recursos.;Não requer planejamento estruturado.
Processo de Ensino-Aprendizagem na Simulação;Quais metodologias ativas se relacionam com simulação?;2;PBL (aprendizagem baseada em problemas), TBL (aprendizagem em equipe) e aprendizagem experiencial.;Não se relaciona com metodologias ativas.
Impactos, Desafios, Inovação e Aspectos Humanos;Como a simulação contribui para protocolos institucionais?;2;Testa e valida protocolos, identificando falhas antes da aplicação real.;Não contribui para protocolos institucionais.
Processo de Ensino-Aprendizagem na Simulação;Como a simulação contribui para a educação interprofissional?;2;Integra diferentes áreas da saúde, promovendo colaboração e comunicação entre equipes.;Não promove educação interprofissional.
Impactos, Desafios, Inovação e Aspectos Humanos;Qual o impacto da simulação na segurança do paciente?;2;Impacta diretamente na redução de erros assistenciais e na melhoria da comunicação e do trabalho em equipe.;Não impacta a segurança do paciente.
Processo de Ensino-Aprendizagem na Simulação;Como a simulação pode ser aplicada na educação permanente?;2;Atualizando profissionais por meio de treinamentos contínuos e reciclagem de protocolos.;Não pode ser usada na educação permanente.
Impactos, Desafios, Inovação e Aspectos Humanos;Qual o papel do facilitador na simulação?;2;Conduz cenários, aplica metodologias ativas, alinha objetivos educacionais e conduz debriefings.;O facilitador não possui função relevante.
Processo de Ensino-Aprendizagem na Simulação;Qual a importância do feedback estruturado?;2;É fundamental para corrigir erros, reforçar acertos e consolidar o aprendizado.;O feedback não é necessário.
Impactos, Desafios, Inovação e Aspectos Humanos;Qual o papel do participante simulado/ator?;2;Representa situações clínicas, de gestão e/ou comportamento de forma realista.;O ator não possui papel definido.
Processo de Ensino-Aprendizagem na Simulação;Como a simulação promove aprendizagem significativa?;2;Relaciona teoria com prática real, facilitando a compreensão e a aplicação clínica.;Não promove aprendizagem significativa.
Impactos, Desafios, Inovação e Aspectos Humanos;Qual a função do paciente simulado?;2;Representação realista, padronização, improviso controlado e feedback aos alunos.;O paciente simulado não tem função.
Processo de Ensino-Aprendizagem na Simulação;Qual a importância da repetição na aprendizagem simulada?;2;A prática repetida permite a transição do conhecimento teórico para a prática, reduzindo erros em cenários reais.;A repetição não tem importância.
Impactos, Desafios, Inovação e Aspectos Humanos;Qual a função dos facilitadores e docentes na simulação?;2;Propor estratégias de ensino, feedback, avaliação formativa, ética e segurança emocional.;Docentes não possuem papel na simulação.
Processo de Ensino-Aprendizagem na Simulação;Como a simulação desenvolve a autonomia do estudante?;2;Coloca o aluno como protagonista, responsável por decisões e condutas.;Não desenvolve autonomia.
Impactos, Desafios, Inovação e Aspectos Humanos;Qualquer pessoa pode ser um facilitador na simulação realística?;2;Qualquer pessoa pode se tornar facilitador, desde que seja capacitada.;Qualquer pessoa pode atuar sem preparo.
Processo de Ensino-Aprendizagem na Simulação;Como avaliar a satisfação dos participantes?;2;Por meio de questionários, escalas de avaliação e feedback verbal.;Não é possível avaliar satisfação.
Impactos, Desafios, Inovação e Aspectos Humanos;Os manequins simuladores são os únicos responsáveis por trazer fidelidade na simulação?;2;Não, a fidelidade na simulação realística é multidimensional, e os manequins são apenas uma parte do processo.;Os manequins são os únicos responsáveis pela fidelidade.
Processo de Ensino-Aprendizagem na Simulação;Como a simulação pode ser usada em treinamentos institucionais?;2;Para capacitar equipes, implementar protocolos e treinar situações críticas.;Não pode ser utilizada em treinamentos institucionais.
Impactos, Desafios, Inovação e Aspectos Humanos;Existe inteligência artificial na simulação realística?;2;Sim, a IA está presente atualmente em manequins inteligentes, bem como em ambientes virtuais, como o paciente virtual simulado.;Não existe IA na simulação.
Impactos, Desafios, Inovação e Aspectos Humanos;A inteligência artificial substitui o papel humano na simulação?;2;Não, a IA potencializa cenários de simulação, mas não substitui o papel humano.;A IA substitui totalmente o ser humano.
Impactos, Desafios, Inovação e Aspectos Humanos;De que forma a IA contribui para a avaliação e o feedback do desempenho dos participantes?;2;A IA contribui para a avaliação e o feedback ao analisar dados de desempenho, identificar padrões e fornecer retornos personalizados, potencializando os cenários de simulação sem substituir o papel humano.;Não contribui para avaliação.
Impactos, Desafios, Inovação e Aspectos Humanos;Quais são as vantagens do uso de pacientes virtuais com IA no ensino em saúde?;2;Relacionam-se ao desenvolvimento da comunicação, do raciocínio clínico e da tomada de decisão.;Não há vantagens nos pacientes virtuais.
Impactos, Desafios, Inovação e Aspectos Humanos;Quais são os principais desafios e limitações do uso da IA na simulação realística?;2;Custo, necessidade de infraestrutura, capacitação profissional e questões éticas.;Não existem desafios na IA.
Impactos, Desafios, Inovação e Aspectos Humanos;Como a simulação pode ser aplicada em ambientes virtuais?;2;Com simulações on-line, realidade virtual e plataformas digitais interativas.;Não pode ser aplicada virtualmente.
Impactos, Desafios, Inovação e Aspectos Humanos;A simulação realística pode ser, no futuro, uma única ferramenta de aprendizado?;2;Certamente que não. Ela funciona como uma das principais ferramentas de ensino em saúde, e o futuro está na integração inteligente de métodos.;Será a única ferramenta no futuro.
Impactos, Desafios, Inovação e Aspectos Humanos;No futuro, a simulação realística vai cair em desuso?;2;O futuro aponta para sua expansão e integração com novas tecnologias, consolidando-a como um dos pilares da educação em saúde.;Vai cair completamente em desuso.
Impactos, Desafios, Inovação e Aspectos Humanos;Qual a maior dificuldade de universidades públicas implementarem a simulação realística?;2;Orçamento, infraestrutura e possível resistência pedagógica.;Não há dificuldades para implementação.
Impactos, Desafios, Inovação e Aspectos Humanos;É possível adaptar a simulação realística para contextos com poucos recursos financeiros?;2;Sim, com criatividade, simulação de baixo custo e estratégias acessíveis.;Não pode ser adaptada.
Impactos, Desafios, Inovação e Aspectos Humanos;É possível produzir simuladores de baixo custo?;2;Sim, simuladores de baixo custo são viáveis e eficazes. Quando bem utilizados, conseguem promover aprendizado significativo, mostrando que uma boa simulação depende mais da metodologia do que do investimento financeiro.;Não é possível produzir simuladores baratos.
Impactos, Desafios, Inovação e Aspectos Humanos;Quais são os custos envolvidos na simulação?;2;Equipamentos (manequins), espaço físico, capacitação da equipe e manutenção.;Não envolve custos.
Impactos, Desafios, Inovação e Aspectos Humanos;A ética deve ser levada em consideração na simulação realística?;2;Sim. Sem ela, a simulação perde seu propósito educativo e pode até causar danos aos participantes.;A ética não é necessária.
Impactos, Desafios, Inovação e Aspectos Humanos;Existe resistência psicológica na simulação realística?;2;Sim: medo de julgamento ou exposição, baixa imersão, ansiedade, estresse e foco excessivo na avaliação.;Não existe resistência psicológica.
Impactos, Desafios, Inovação e Aspectos Humanos;Quais são os riscos de uma simulação mal conduzida para o processo de aprendizagem?;2;Reflete-se em feedback inadequado, ausência de debriefing e possíveis impactos negativos no processo de aprendizagem.;Não há riscos pedagógicos.
Impactos, Desafios, Inovação e Aspectos Humanos;A simulação realística é um ensino de metodologia ativa?;2;Sim, a simulação realística é uma metodologia ativa, porque coloca o aluno no centro do processo de aprendizagem, promovendo participação, reflexão e desenvolvimento prático.;Não é metodologia ativa.
Impactos, Desafios, Inovação e Aspectos Humanos;Como a simulação realística pode transformar o papel do professor no processo de ensino-aprendizagem em saúde?;2;Leva à reflexão sobre a mudança de um modelo tradicional (professor como transmissor) para um modelo ativo (facilitador do aprendizado).;Não altera o papel do professor.
Impactos, Desafios, Inovação e Aspectos Humanos;Como a integração da simulação realística ao currículo pode influenciar a forma como os estudantes articulam teoria e prática ao longo da formação?;2;Na simulação, a mudança no papel do professor e do aluno só se concretiza plenamente quando a simulação está inserida de forma estruturada no ensino.;Não influencia teoria e prática.
Processo de Ensino-Aprendizagem na Simulação;O que o Ciclo de Aprendizagem Experiencial de David Kolb apresenta?;2;Experiência concreta, observação reflexiva, conceitualização abstrata e experimentação ativa.;Não apresenta conteúdo relevante.
Processo de Ensino-Aprendizagem na Simulação;Como funciona a espiral contínua de aprendizagem no Ciclo de David Kolb?;2;Nessa espiral, o aluno age, reflete, reconstrói o conhecimento e aplica novamente.;Não possui funcionamento definido.
Processo de Ensino-Aprendizagem na Simulação;Qual o impacto da simulação na qualidade da assistência?;2;Promove segurança, eficiência, precisão clínica e satisfação do paciente.;Não impacta a qualidade assistencial.
Impactos, Desafios, Inovação e Aspectos Humanos;Qual a função do analista de simulação?;2;Integração pedagógica, desenho instrucional, briefing/debriefing e análise de dados.;O analista não possui função.
Equipe do CEBS;Qual a função do técnico de simulação?;2;Cuidar dos equipamentos de moulage, cenografia, biossegurança e apoio a cenários e operadores.;No CEBS, o assistente administrativo não desempenha funções estruturadas, não estando envolvido em atividades como agendamento, organização de recursos ou apoio logístico aos cenários simulados.
Equipe do CEBS;No CEBS, quais são as atribuições do assistente administrativo?;2;Atender usuários internos e externos, presencialmente ou por telefone, identificando e direcionando demandas.;As atribuições do assistente administrativo no CEBS não incluem suporte às atividades educacionais, sendo sua atuação limitada e desvinculada do planejamento e da execução das simulações.
Equipe do CEBS;No CEBS, quais são as atribuições do assistente administrativo?;2;Gerenciar o agendamento e o cronograma de uso das salas e espaços.;O assistente administrativo no CEBS não participa de processos de gestão, controle de materiais ou organização institucional, não exercendo papel relevante no funcionamento do centro.
Equipe do CEBS;No CEBS, quais são as atribuições do assistente administrativo?;2;Apoiar a logística e a organização de documentos, materiais e insumos.;O assistente não possui atribuições.
Processo de Ensino-Aprendizagem na Simulação;A simulação influencia a confiança profissional? Como?;2;Sim. Ao permitir prática segura, reduz a ansiedade e aumenta a segurança.;Não influencia a confiança profissional.
Processo de Ensino-Aprendizagem na Simulação;Como a adaptação do cenário impacta o aprendizado?;2;Torna a simulação mais dinâmica, exigindo decisões rápidas e flexibilidade.;Não impacta o aprendizado.
Processo de Ensino-Aprendizagem na Simulação;Como a imprevisibilidade dentro do cenário impacta o desempenho?;2;Força a adaptação e o raciocínio rápido.;Não altera o desempenho.
Impactos, Desafios, Inovação e Aspectos Humanos;As limitações na infraestrutura podem impactar a qualidade da simulação realística?;2;Podem influenciar no realismo, mas podem ser compensadas com bom planejamento pedagógico.;A infraestrutura não influencia a qualidade.
Impactos, Desafios, Inovação e Aspectos Humanos;A infraestrutura do ambiente simulado pode influenciar o comportamento dos participantes? Como?;2;Sim, ambientes mais realistas aumentam a imersão e o engajamento.;Não influencia comportamento.
Impactos, Desafios, Inovação e Aspectos Humanos;A organização da equipe de simulação influencia o sucesso de um cenário educativo?;2;Sim, pois uma equipe bem estruturada garante fluidez, realismo e melhor condução do aprendizado.;Não influencia o sucesso do cenário.
Impactos, Desafios, Inovação e Aspectos Humanos;Qual é a importância da simulação realística no contexto da formação em saúde no Brasil?;2;Contribui para melhorar a qualidade do ensino, preparar profissionais mais seguros e reduzir erros na prática clínica.;A simulação realística não possui relevância significativa no contexto da formação em saúde no Brasil, sendo considerada uma estratégia dispensável que não impacta a qualidade do ensino.
